url_id,url,is_scraped,created_at,updated_at
47,https://www.notationsworld.com/har-kisi-ko-nahi-milta-yahan-pyaar-zindgi-mein-boss-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
48,https://www.notationsworld.com/abhi-mujh-mein-kahin-agneepath-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
49,https://www.notationsworld.com/bekhayali-kabir-singh-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
50,https://www.notationsworld.com/ajj-din-chadheya-love-aaj-kal-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
51,https://www.notationsworld.com/tujhko-jo-paaya-crook-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
52,https://www.notationsworld.com/dhadak-title-song-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
53,https://www.notationsworld.com/vaaste-dhvani-bhanushali-full-song-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
54,https://www.notationsworld.com/ishq-sufiana-the-dirty-picture-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
55,https://www.notationsworld.com/basabriyaan-m-s-dhoni-the-untold-story-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
56,https://www.notationsworld.com/barso-re-megha-megha-guru-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
57,https://www.notationsworld.com/hothon-se-chhulo-tum-jagjit-singh-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
58,https://www.notationsworld.com/tera-yaar-hoon-main-sonu-ke-tittu-ki-sweety-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
59,https://www.notationsworld.com/yaara-teri-yaari-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
60,https://www.notationsworld.com/aaoge-jab-tum-jab-we-met-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
61,https://www.notationsworld.com/main-jahaan-rahoon-namastey-london-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
62,https://www.notationsworld.com/tujhe-dekha-to-yeh-jana-sanam-ddlj-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
63,https://www.notationsworld.com/harry-potter-theme-song-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
64,https://www.notationsworld.com/pirates-of-the-caribbean-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
65,https://www.notationsworld.com/tera-ghata-gajendra-verma-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
66,https://www.notationsworld.com/sholay-theme-tune-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
67,https://www.notationsworld.com/on-my-way-alan-walker-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
68,https://www.notationsworld.com/tera-ban-jaunga-kabir-singh-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
69,https://www.notationsworld.com/channa-mereya-ae-dil-hai-mushkil-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
70,https://www.notationsworld.com/best-alankar-for-practice-2.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
71,https://www.notationsworld.com/namo-namo-kedarnath-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
72,https://www.notationsworld.com/best-raga-bhopali-alankars-for-practice-1.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
73,https://www.notationsworld.com/sau-dard-hai-jaan-e-mann-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
74,https://www.notationsworld.com/yaaron-dosti-badi-hi-k-k-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
75,https://www.notationsworld.com/perfect-ed-sheeran-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
76,https://www.notationsworld.com/best-raga-hamsadhwani-alankars-for-practice.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
77,https://www.notationsworld.com/tu-jaane-na-ajab-prem-ki-ghazab-kahani-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
78,https://www.notationsworld.com/best-alankars-for-beginners.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
79,https://www.notationsworld.com/dil-kyun-yeh-mera-kites-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
80,https://www.notationsworld.com/pyramid-alankars-for-practice.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
81,https://www.notationsworld.com/kaise-hua-kabir-singh-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
82,https://www.notationsworld.com/best-alankar-for-practice-3.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
83,https://www.notationsworld.com/lakdi-ki-kaathi-masoom-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
84,https://www.notationsworld.com/see-you-again-ft-charlie-puth-wiz-khalifa-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
85,https://www.notationsworld.com/best-raga-desh-alankars-for-practice.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
86,https://www.notationsworld.com/jeena-jeena-full-song-badlapur-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
87,https://www.notationsworld.com/bolna-kapoor-and-sons-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
88,https://www.notationsworld.com/10000-reasons-bless-the-lord-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
89,https://www.notationsworld.com/jab-se-tere-naina-saawariya-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
90,https://www.notationsworld.com/bum-bum-bole-taare-zameen-par-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
91,https://www.notationsworld.com/shei-tumi-keno-eto-ochena-hole-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
92,https://www.notationsworld.com/super-mario-bros-theme-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
93,https://www.notationsworld.com/best-alankars-for-practice-4.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
94,https://www.notationsworld.com/pubg-theme-song-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
95,https://www.notationsworld.com/best-alankars-for-practice-5.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
96,https://www.notationsworld.com/mile-ho-tum-fever-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
97,https://www.notationsworld.com/best-raga-bhairav-alankars-for-practice.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
98,https://www.notationsworld.com/hawayein-jab-harry-met-sejal-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
99,https://www.notationsworld.com/maa-taare-zameen-par-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
100,https://www.notationsworld.com/afreen-afreen-coke-studio-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
101,https://www.notationsworld.com/the-jungle-book-title-song-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
102,https://www.notationsworld.com/luka-chuppi-lata-mangeshkar-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
103,https://www.notationsworld.com/best-alankars-for-practice-6.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
104,https://www.notationsworld.com/nani-teri-morni-ko-mor-le-gaye-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
105,https://www.notationsworld.com/joker-hardy-sandhu-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
106,https://www.notationsworld.com/achyutam-keshavam-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
107,https://www.notationsworld.com/best-alankars-for-practice-7.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
108,https://www.notationsworld.com/love-me-like-you-do-ellie-goulding-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
109,https://www.notationsworld.com/pachtaoge-arijit-singh-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
110,https://www.notationsworld.com/main-hoon-hero-tera-salman-khan-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
111,https://www.notationsworld.com/mere-wala-sardar-jugraj-sandhu-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
112,https://www.notationsworld.com/i-like-me-better-lauv-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
113,https://www.notationsworld.com/dekha-hazaro-dafaa-rustom-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
114,https://www.notationsworld.com/let-me-love-you-dj-snake-ft-justin-bieber-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
115,https://www.notationsworld.com/sohnea-miss-pooja-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
116,https://www.notationsworld.com/senorita-shawn-mendes-camila-cabello-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
117,https://www.notationsworld.com/raabta-agent-vinod-full-song-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
118,https://www.notationsworld.com/aadat-jal-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
119,https://www.notationsworld.com/dil-mein-ho-tum-why-cheat-india-sargam-and-flute-notes.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
120,https://www.notationsworld.com/best-raga-bhopali-alankars-for-practice-2.html,False,2025-05-17 12:08:00,2025-05-17 12:08:00
